title,image_url,subtitle,button_titles,button_payloads
Elevate - Students,https://example.com/elevate-students.jpg,Empowering students through faith and community.,High School|College,/elevate_high_school|/elevate_college
B1G,https://example.com/single-young-adults.jpg,Explore groups for single young adults.,Join Now,/single_young_adult
Married Couples,https://example.com/married-couples.jpg,Find groups for married couples.,Join Now,/married
Solo Parent(s),https://example.com/parents.jpg,Join groups tailored for solo parents.,Join Now,/solo_parent
